County,ev_count,station_count,ev_per_station,station_per_ev
WA,245590,2534,96.91791633780583,0.01031800969094833
King,123557,1336,92.48278443113773,0.010812823231383085
Snohomish,30203,122,247.5655737704918,0.004039333841009171
Pierce,20254,144,140.65277777777777,0.007109706724597611
Clark,14801,109,135.78899082568807,0.0073643672724815895
Thurston,8938,80,111.725,0.008950548221078542
Kitsap,8232,60,137.2,0.007288629737609329
Spokane,6843,146,46.86986301369863,0.021335671489112962
Whatcom,5952,88,67.63636363636364,0.01478494623655914
Benton,3220,24,134.16666666666666,0.007453416149068323
Skagit,2800,40,70.0,0.014285714285714285
Island,2654,13,204.15384615384616,0.0048982667671439335
Yakima,1628,39,41.743589743589745,0.023955773955773956
Chelan,1523,48,31.729166666666668,0.03151674326986211
Clallam,1477,38,38.86842105263158,0.025727826675693975
Jefferson,1281,12,106.75,0.00936768149882904
Cowlitz,1259,10,125.9,0.007942811755361398
Mason,1201,6,200.16666666666666,0.004995836802664446
"San Juan",1178,20,58.9,0.01697792869269949
Lewis,1088,29,37.51724137931034,0.02665441176470588
Franklin,941,20,47.05,0.021253985122210415
Grant,912,12,76.0,0.013157894736842105
"Grays Harbor",908,16,56.75,0.01762114537444934
Kittitas,895,17,52.64705882352941,0.01899441340782123
"Walla Walla",662,28,23.642857142857142,0.04229607250755287
Douglas,541,7,77.28571428571429,0.012939001848428836
Whitman,492,16,30.75,0.032520325203252036
Klickitat,438,8,54.75,0.0182648401826484
Okanogan,381,15,25.4,0.03937007874015748
Stevens,300,4,75.0,0.013333333333333334
Pacific,290,4,72.5,0.013793103448275862
Skamania,249,3,83.0,0.012048192771084338
Asotin,98,3,32.666666666666664,0.030612244897959183
Adams,88,6,14.666666666666666,0.06818181818181818
Wahkiakum,87,3,29.0,0.034482758620689655
"Pend Oreille",82,1,82.0,0.012195121951219513
Lincoln,73,5,14.6,0.0684931506849315
Ferry,40,0,inf,0.0
Columbia,21,2,10.5,0.09523809523809523
Garfield,3,0,inf,0.0
